orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
D-68,all,31,16,145,301,34,80709,0,0,0,0,0,D,3,Arterial endothelial cell,44,18,2,2,2_5,DC
D-69,all,63,34,875,1113,21,113995,0,0,0,0,0,D,11,Natural killer cell,56,34,7,7,7_3,Tcell (CD8)
D-70,all,22,11,808,877,5,26688,0,0,0,0,0,D,5,Natural killer cell,40,11,7,7,7_3,Tcell (CD8)
D-71,all,38,27,733,775,29,87702,0,0,0,0,0,D,11,Arterial endothelial cell,41,28,3,3,3_1,SMC
D-72,all,13,10,1093,1690,24,47319,0,0,0,0,0,D,4,Pericyte,30,10,5,5,5_1,Pericyte
D-73,all,35,24,800,475,23,132221,0,0,0,0,0,D,7,Alveolar fibroblast 1,42,24,1,1,1_3,AT2
D-76,all,16,11,1229,1832,28,39113,0,0,0,0,0,D,8,Pericyte,33,11,3,3,3_2,SMC
D-77,all,10,8,1905,868,23,54774,0,0,0,0,0,D,2,Deuterosomal cell,25,9,1,1,1_6_2,Neutrophil
D-78,all,22,9,390,1014,22,42542,0,0,0,0,0,D,12,Alveolar type 2 cell,43,9,1,1,1_3,AT2
D-82,all,19,10,1821,63,27,51479,0,0,0,0,0,D,3,Capillary 2 cell,40,10,2,2,2_6,pDC
D-83,all,40,17,1696,1687,34,83743,0,0,0,0,0,D,12,Alveolar type 1 cell,44,17,6,6,6,AT1
D-84,all,106,12,601,518,15,87421,0,0,0,0,0,D,90,Sox9+/Id2+ epithelial cell,53,11,1,1,1_3,AT2
D-86,all,39,23,92,405,14,74968,0,0,0,0,0,D,3,Capillary 2 cell,42,23,5,5,5_3,Pericyte
D-89,all,28,18,355,1062,31,66297,0,0,0,0,0,D,9,Alveolar fibroblast 1,39,19,2,2,2_4,Artery
D-90,all,13,8,1151,1119,17,33153,0,0,0,0,0,D,9,Sox9+/Id2+ epithelial cell,30,8,8,8,8_3,InterstitialMac
D-91,all,33,13,1730,1305,24,69376,0,0,0,0,0,D,28,Pericyte,42,13,1,1,1_1,AT2
D-92,all,124,28,171,1515,23,95832,0,0,0,0,0,D,90,Alveolar type 2 cell,45,12,1,1,1_3,AT2
