orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-64,all,18,14,556,243,35,43193,0,0,0,0,0,H,4,Inflammatory monocyte,34,14,7,7,7_4,PatrolMac
H-65,all,35,19,1220,1573,16,34104,0,0,0,0,0,H,11,Interstitial macrophage,39,19,8,8,8_3,InterstitialMac
H-66,all,52,23,1008,46,26,98462,0,0,0,0,0,H,19,Alveolar fibroblast 1,52,24,3,3,3_5,SMC
H-67,all,28,19,491,1455,7,30301,104,0,104,0,1,H,8,Pericyte,40,21,2,2,2_5,DC
H-68,all,28,23,422,1591,18,49331,0,0,0,0,0,H,10,Ciliated cell,41,23,3,3,3_4,AdventitialFib
H-69,all,53,27,1919,1227,8,56774,0,0,0,0,0,H,11,Sox9+/Id2+ epithelial cell,52,27,1,1,1_3,AT2
H-70,all,66,35,1096,1437,11,67793,0,0,0,0,0,H,21,Secondary crest myofibroblast,57,35,1,1,1_5_1,LymphaticEndo
H-71,all,6,6,485,138,29,34711,0,0,0,0,0,H,2,Inflammatory monocyte,26,9,3,3,3_1,SMC
H-74,all,53,31,1164,338,25,72508,0,0,0,0,0,H,10,Inflammatory monocyte,52,31,7,7,7_2,PatrolMac
H-75,all,39,21,645,544,25,56104,0,0,0,0,0,H,3,Alveolar macrophage,43,21,8,8,8_1,AlveolarMac
H-76,all,134,47,976,723,20,103485,101,0,101,0,1,H,36,Alveolar macrophage,50,21,8,8,8_1,AlveolarMac
H-77,all,62,18,1886,1739,11,38984,0,0,0,0,0,H,8,Alveolar type 1 cell,53,18,6,6,6,AT1
H-78,all,19,17,993,97,37,57750,0,0,0,0,0,H,2,Capillary 2 cell,39,17,2,2,2_6,pDC
H-79,all,112,50,454,522,23,135063,50,0,50,0,1,H,19,Secretory cell,50,33,7,7,7_2,PatrolMac
H-81,all,19,7,1388,97,26,32659,0,0,0,0,0,H,10,Sox9+/Id2+ epithelial cell,43,7,1,1,1_1,AT2
H-82,all,164,59,855,885,11,92821,0,0,0,0,0,H,40,Alveolar type 1 cell,47,25,6,6,6,AT1
H-83,all,28,13,562,191,18,34883,0,0,0,0,0,H,2,Capillary 1 cell,47,12,2,2,2_1,Capillary
H-84,all,16,12,885,776,31,17869,0,0,0,0,0,H,4,Capillary 2 cell,35,12,2,2,2_1,Capillary
H-85,all,15,10,185,1080,39,29853,0,0,0,0,0,H,2,Alveolar type 1 cell,33,10,6,6,6,AT1
H-86,all,51,29,807,945,9,54842,0,0,0,0,0,H,8,Natural killer cell,52,30,2,2,2_2,InflamMac
H-88,all,22,11,1218,959,7,27842,0,0,0,0,0,H,2,Natural killer cell,38,12,2,2,2_2,InflamMac
H-89,all,33,20,63,1782,20,58572,0,0,0,0,0,H,3,B cell,42,21,2,2,2_4,Artery
H-90,all,57,31,154,1856,21,95437,0,0,0,0,0,H,5,Basophil,54,31,7,7,7_2,PatrolMac
H-91,all,196,39,353,1634,13,91712,0,0,0,0,0,H,137,Alveolar type 2 cell,48,15,1,1,1_1,AT2
H-92,all,20,10,15,1373,15,24558,0,0,0,0,0,H,13,Capillary 1 cell,41,12,2,2,2_3,Vein
H-94,all,39,21,1264,221,18,47957,0,0,0,0,0,H,10,Venous endothelial cell,43,21,2,2,2_3,Vein
H-95,all,73,26,443,1551,20,85554,0,0,0,0,0,H,38,Alveolar type 2 cell,53,26,2,2,2_1,Capillary
H-96,all,17,16,369,1199,8,22579,0,0,0,0,0,H,2,Sox9+/Id2+ epithelial cell,34,16,2,2,2_3,Vein
H-98,all,18,13,691,711,7,22750,0,0,0,0,0,H,5,Capillary 1 cell,35,13,2,2,2_3,Vein
H-99,all,33,21,1894,1031,9,46486,0,0,0,0,0,H,9,Arterial endothelial cell,42,21,7,7,7_2,PatrolMac
H-101,all,46,34,472,1630,24,90931,55,0,55,0,1,H,11,Inflammatory monocyte,46,34,9,9,9,Bcell
H-106,all,22,15,1744,1760,22,29894,0,0,0,0,0,H,6,Alveolar macrophage,41,15,3,3,3_6,SCMF
H-107,all,81,38,1138,1340,21,92115,0,0,0,0,0,H,18,Pericyte,57,38,5,5,5_1,Pericyte
H-109,all,73,39,1104,705,26,90746,0,0,0,0,0,H,10,Inflammatory monocyte,55,39,2,2,2_6,pDC
H-112,all,104,18,62,1620,22,86346,471,0,471,0,1,H,89,Sox9+/Id2+ epithelial cell,50,11,1,1,1_3,AT2
H-113,all,32,18,465,15,16,60877,0,0,0,0,0,H,5,Secondary crest myofibroblast,42,19,3,3,3_5,SMC
H-115,all,22,16,1031,702,31,30238,0,0,0,0,0,H,3,Alveolar type 1 cell,39,16,1,1,1_4_1,AlveolarFib
H-119,all,33,19,1009,234,14,42316,0,0,0,0,0,H,4,Endothelial progenitor cell,43,19,3,3,3_4,AdventitialFib
H-120,all,38,25,1199,1622,9,57824,0,0,0,0,0,H,14,Alveolar fibroblast 1,40,24,1,1,1_5_1,LymphaticEndo
H-121,all,19,13,1226,264,32,56187,0,0,0,0,0,H,7,Pericyte,38,13,5,5,5_1,Pericyte
H-122,all,42,23,1218,1005,16,43639,0,0,0,0,0,H,3,Sox9+/Id2+ epithelial cell,46,25,2,2,2_3,Vein
H-123,all,73,38,1254,1535,12,74197,0,0,0,0,0,H,26,Interstitial macrophage,57,39,3,3,3_1,SMC
H-124,all,34,25,1217,446,21,78099,104,0,104,0,1,H,9,Neutrophil,40,25,7,7,7_2,PatrolMac
H-128,all,12,10,1695,1781,5,26259,0,0,0,0,0,H,4,Capillary 1 cell,27,10,5,5,5_3,Pericyte
H-129,all,44,29,979,189,36,63993,0,0,0,0,0,H,5,Inflammatory monocyte,46,30,2,2,2_5,DC
H-131,all,92,31,233,1242,16,86356,0,0,0,0,0,H,14,Alveolar type 1 cell,58,31,6,6,6,AT1
H-134,all,56,37,224,1171,24,106921,0,0,0,0,0,H,19,Pericyte,55,37,5,5,5_3,Pericyte
H-135,all,38,23,1712,1709,13,66622,0,0,0,0,0,H,11,Pericyte,42,23,5,5,5_1,Pericyte
H-136,all,56,38,540,129,17,83413,50,0,50,0,1,H,13,Alveolar type 2 cell,55,37,2,2,2_1,Capillary
H-137,all,18,10,1031,1646,6,11073,108,0,108,0,1,H,3,Venous endothelial cell,37,10,3,3,3_4,AdventitialFib
H-142,all,9,8,1508,104,4,8337,0,0,0,0,0,H,4,Alveolar macrophage,25,9,3,3,3_1,SMC
H-143,all,17,10,1692,1927,14,39918,0,0,0,0,0,H,3,Endothelial progenitor cell,38,11,2,2,2_1,Capillary
H-144,all,21,14,1933,345,25,38058,0,0,0,0,0,H,5,Inflammatory monocyte,38,14,3,3,3_6,SCMF
H-148,all,15,10,76,1716,38,42605,0,0,0,0,0,H,2,Endothelial progenitor cell,33,10,3,3,3_4,AdventitialFib
H-149,all,27,17,1794,732,9,32057,0,0,0,0,0,H,5,Interstitial macrophage,39,17,8,8,8_3,InterstitialMac
H-150,all,63,22,1170,1107,26,50022,0,0,0,0,0,H,8,Alveolar type 1 cell,54,22,6,6,6,AT1
H-151,all,20,17,1258,78,17,37492,0,0,0,0,0,H,4,Alveolar fibroblast 1,39,17,3,3,3_4,AdventitialFib
H-152,all,28,23,459,111,19,67786,0,0,0,0,0,H,10,Alveolar fibroblast 1,36,23,2,2,2_1,Capillary
H-155,all,13,8,468,161,27,48976,596,0,596,0,1,H,7,Alveolar fibroblast 1,30,9,3,3,3_1,SMC
H-156,all,136,27,1186,364,25,98500,105,0,105,0,1,H,104,Alveolar type 2 cell,46,11,1,1,1_3,AT2
H-157,all,15,11,1192,103,37,26318,0,0,0,0,0,H,4,Capillary 1 cell,33,11,5,5,5_1,Pericyte
