orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-70,all,53,31,1296,91,30,76829,0,0,0,0,0,A,5,Alveolar type 1 cell,52,31,6,6,6,AT1
A-71,all,16,15,1334,143,9,32325,0,0,0,0,0,A,7,Capillary 1 cell,36,16,3,3,3_1,SMC
A-72,all,71,37,1068,1515,30,74467,0,0,0,0,0,A,8,AT1/AT2,54,37,2,2,2_1,Capillary
A-73,all,39,26,341,1588,29,71360,0,0,0,0,0,A,6,B cell,42,26,9,9,9,Bcell
A-74,all,92,22,1570,558,20,65163,0,0,0,0,0,A,79,Alveolar type 2 cell,55,20,1,1,1_3,AT2
A-75,all,27,8,1189,1711,5,20275,0,0,0,0,0,A,13,Alveolar type 1 cell,41,8,6,6,6,AT1
A-76,all,20,11,1448,885,11,29090,0,0,0,0,0,A,2,Proliferative mesenchymal progenitor cell,39,12,3,3,3_1,SMC
A-77,all,19,16,1686,214,21,33120,0,0,0,0,0,A,3,Capillary 2 cell,36,16,2,2,2_3,Vein
A-78,all,34,23,880,1222,19,69590,0,0,0,0,0,A,11,Pericyte,42,23,2,2,2_6,pDC
A-79,all,70,10,397,1773,24,61682,0,0,0,0,0,A,62,Alveolar type 2 cell,51,10,1,1,1_1,AT2
A-81,all,45,21,1187,552,19,43697,0,0,0,0,0,A,14,Arterial endothelial cell,46,22,2,2,2_4,Artery
A-82,all,21,18,1736,188,18,35856,0,0,0,0,0,A,4,Arterial endothelial cell,42,19,2,2,2_4,Artery
A-83,all,12,4,1549,761,33,8126,0,0,0,0,0,A,9,Sox9+/Id2+ epithelial cell,37,4,1,1,1_3,AT2
A-84,all,32,20,883,294,23,81973,0,0,0,0,0,A,12,Pericyte,40,20,5,5,5_1,Pericyte
A-86,all,53,17,829,1806,22,51144,0,0,0,0,0,A,40,Alveolar type 2 cell,51,17,1,1,1_3,AT2
A-87,all,35,20,1701,1251,33,66036,0,0,0,0,0,A,3,B cell,45,21,2,2,2_2,InflamMac
A-88,all,23,15,1393,251,14,34290,0,0,0,0,0,A,6,Capillary 1 cell,41,15,2,2,2_3,Vein
