orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
E-66,all,29,19,556,278,14,46313,0,0,0,0,0,E,15,Pericyte,40,19,5,5,5_3,Pericyte
E-67,all,19,18,17,242,35,26929,0,0,0,0,0,E,2,B cell,39,18,2,2,2_6,pDC
E-68,all,50,22,1755,1759,16,77592,0,0,0,0,0,E,9,Alveolar type 1 cell,50,22,6,6,6,AT1
E-69,all,19,13,1186,1041,28,61242,0,0,0,0,0,E,5,Sox9+/Id2+ epithelial cell,42,14,2,2,2_3,Vein
E-70,all,28,20,1061,851,36,47461,0,0,0,0,0,E,5,Alveolar fibroblast 1,39,21,2,2,2_4,Artery
E-71,all,63,36,834,752,18,109060,130,0,130,0,1,E,8,Sox9+/Id2+ epithelial cell,57,36,2,2,2_3,Vein
E-73,all,25,21,1042,74,35,64702,0,0,0,0,0,E,11,Pericyte,45,21,5,5,5_1,Pericyte
E-74,all,155,46,686,1020,26,98735,0,50,0,1,0,E,23,Alveolar macrophage,56,30,8,8,8_1,AlveolarMac
E-75,all,29,20,262,670,14,40788,0,0,0,0,0,E,4,Inflammatory monocyte,40,21,2,2,2_5,DC
E-76,all,31,15,929,1441,21,58649,0,0,0,0,0,E,6,Innate lymphoid cell,42,15,9,9,9,Bcell
E-79,all,149,34,848,1316,16,89209,0,0,0,0,0,E,93,Alveolar type 2 cell,48,16,1,1,1_1,AT2
E-80,all,20,15,270,1300,20,52770,0,0,0,0,0,E,7,Alveolar fibroblast 1,40,15,3,3,3_4,AdventitialFib
E-81,all,50,32,310,326,10,85583,0,0,0,0,0,E,7,Secondary crest myofibroblast,50,32,6,6,6,AT1
E-82,all,121,37,785,962,18,73795,0,0,0,0,0,E,64,Sox9+/Id2+ epithelial cell,41,13,1,1,1_1,AT2
E-83,all,87,24,574,228,26,82141,0,0,0,0,0,E,68,Alveolar type 2 cell,58,24,1,1,1_1,AT2
E-84,all,55,34,806,1178,28,93861,0,0,0,0,0,E,8,Secondary crest myofibroblast,57,36,2,2,2_5,DC
E-86,all,7,7,631,268,14,17329,0,0,0,0,0,E,2,Alveolar fibroblast 1,25,10,1,1,1_5_1,LymphaticEndo
E-89,all,43,28,384,1555,13,64172,0,0,0,0,0,E,13,Alveolar type 2 cell,44,28,5,5,5_3,Pericyte
E-92,all,19,16,60,60,26,44932,0,0,0,0,0,E,3,B cell,38,16,9,9,9,Bcell
E-93,all,108,22,1104,632,30,89159,0,0,0,0,0,E,87,Alveolar type 2 cell,49,12,1,1,1_3,AT2
E-94,all,41,27,1052,605,26,54182,0,0,0,0,0,E,16,Pericyte,43,27,5,5,5_1,Pericyte
E-95,all,46,28,1298,169,34,69725,0,0,0,0,0,E,6,Capillary 1 cell,47,29,2,2,2_3,Vein
E-98,all,31,25,191,1576,19,52204,0,0,0,0,0,E,6,Arterial endothelial cell,39,26,2,2,2_4,Artery
E-100,all,34,22,1201,1303,26,90735,0,0,0,0,0,E,3,Capillary 1 cell,43,23,2,2,2_1,Capillary
E-101,all,53,36,975,228,18,81638,0,0,0,0,0,E,8,Venous endothelial cell,54,37,3,3,3_1,SMC
E-102,all,128,30,459,577,19,96585,51,0,51,0,1,E,92,Alveolar type 2 cell,46,14,1,1,1_3,AT2
E-103,all,9,8,816,1629,7,17601,58,58,0,1,0,E,3,B cell,25,9,9,9,9,Bcell
E-105,all,29,21,1111,806,37,50389,0,0,0,0,0,E,3,Alveolar type 1 cell,37,21,6,6,6,AT1
E-109,all,26,22,427,1096,34,48899,0,0,0,0,0,E,4,Natural killer cell,46,22,7,7,7_4,PatrolMac
E-111,all,8,6,1047,1643,9,15328,0,0,0,0,0,E,4,Pericyte,22,8,5,5,5_1,Pericyte
E-112,all,99,29,822,1941,15,83512,0,0,0,0,0,E,64,Alveolar type 2 cell,57,26,1,1,1_3,AT2
E-115,all,137,32,947,544,13,68278,50,50,0,1,0,E,102,Alveolar type 2 cell,46,13,1,1,1_3,AT2
E-116,all,15,11,751,431,34,29325,0,0,0,0,0,E,2,Proliferative mesenchymal progenitor cell,32,12,3,3,3_1,SMC
E-118,all,62,19,240,927,33,57509,0,0,0,0,0,E,44,Alveolar type 2 cell,53,19,1,1,1_1,AT2
E-119,all,45,27,1242,1224,26,80448,0,0,0,0,0,E,7,Capillary 1 cell,44,26,2,2,2_1,Capillary
E-121,all,56,21,529,1612,34,49446,0,0,0,0,0,E,34,Alveolar type 2 cell,52,21,1,1,1_1,AT2
E-122,all,14,8,1079,9,37,19284,0,0,0,0,0,E,2,Alveolar type 1 cell,35,8,6,6,6,AT1
E-123,all,45,24,1785,588,23,93453,0,0,0,0,0,E,10,CD8+ T cell,46,24,3,3,3_1,SMC
E-124,all,20,13,1167,156,6,20691,0,0,0,0,0,E,2,Neutrophil,40,14,2,2,2_2,InflamMac
E-125,all,16,9,469,90,29,32759,0,0,0,0,0,E,3,Alveolar fibroblast 1,37,10,1,1,1_4_1,AlveolarFib
E-126,all,53,27,140,65,34,41795,0,0,0,0,0,E,13,Alveolar type 1 cell,52,27,6,6,6,AT1
E-128,all,54,22,797,1791,22,93407,0,0,0,0,0,E,8,Alveolar type 2 cell,52,22,7,7,7_4,PatrolMac
E-130,all,56,40,19,1522,15,86215,0,0,0,0,0,E,9,Venous endothelial cell,55,40,9,9,9,Bcell
E-132,all,15,14,648,484,37,36905,0,0,0,0,0,E,5,Pericyte,32,14,5,5,5_1,Pericyte
E-133,all,13,11,501,131,35,16050,0,0,0,0,0,E,2,Alveolar macrophage,33,11,8,8,8_1,AlveolarMac
E-134,all,33,15,979,581,33,32122,0,0,0,0,0,E,6,Pericyte,44,15,3,3,3_4,AdventitialFib
E-135,all,84,41,823,1241,25,77319,0,0,0,0,0,E,34,Pericyte,60,41,5,5,5_1,Pericyte
E-137,all,15,11,1129,326,14,24648,0,0,0,0,0,E,3,Capillary 1 cell,33,11,2,2,2_3,Vein
E-138,all,89,32,804,455,26,63552,0,0,0,0,0,E,21,Alveolar type 1 cell,60,32,6,6,6,AT1
E-139,all,143,39,247,1222,23,93697,0,0,0,0,0,E,93,Alveolar type 2 cell,45,15,1,1,1_3,AT2
E-140,all,19,16,916,886,37,33507,0,0,0,0,0,E,3,Alveolar type 2 cell,45,17,1,1,1_4_1,AlveolarFib
E-141,all,15,13,114,348,14,37222,0,0,0,0,0,E,3,Alveolar type 1 cell,32,13,6,6,6,AT1
E-142,all,57,16,1663,292,33,63909,0,0,0,0,0,E,9,Alveolar type 1 cell,50,16,6,6,6,AT1
E-144,all,82,42,698,243,23,107801,0,0,0,0,0,E,19,B cell,59,42,9,9,9,Bcell
E-146,all,27,14,1302,1434,7,32758,0,0,0,0,0,E,11,Sox9+/Id2+ epithelial cell,44,14,2,2,2_3,Vein
E-148,all,78,40,605,836,22,97452,52,0,52,0,1,E,24,Endothelial progenitor cell,59,40,2,2,2_6,pDC
E-149,all,22,17,1000,156,32,37293,0,0,0,0,0,E,6,Capillary 1 cell,39,17,2,2,2_3,Vein
E-150,all,23,15,1900,698,29,90701,0,0,0,0,0,E,2,Inflammatory monocyte,45,16,3,3,3_1,SMC
E-151,all,45,30,466,127,27,70018,0,0,0,0,0,E,9,Venous endothelial cell,45,30,2,2,2_3,Vein
E-153,all,30,19,1126,362,15,47016,0,0,0,0,0,E,2,Venous endothelial cell,39,19,2,2,2_3,Vein
E-154,all,24,18,563,532,30,48683,0,0,0,0,0,E,4,Neutrophil,42,18,2,2,2_3,Vein
E-155,all,42,27,196,17,36,53901,0,0,0,0,0,E,6,Venous endothelial cell,43,27,3,3,3_6,SCMF
E-156,all,70,32,1390,1781,20,80884,0,0,0,0,0,E,7,Capillary 1 cell,56,32,2,2,2_3,Vein
E-157,all,85,17,403,1524,18,59177,0,0,0,0,0,E,57,Alveolar type 2 cell,55,17,1,1,1_1,AT2
E-158,all,28,18,136,380,22,40947,0,0,0,0,0,E,5,Inflammatory monocyte,44,18,2,2,2_6,pDC
E-159,all,43,18,1592,271,28,55968,0,0,0,0,0,E,19,Ciliated cell,45,18,6,6,6,AT1
E-161,all,43,25,1350,475,34,63417,0,0,0,0,0,E,6,Pericyte,48,26,2,2,2_4,Artery
E-162,all,31,21,1509,53,11,33784,0,0,0,0,0,E,10,Inflammatory monocyte,39,22,2,2,2_5,DC
E-163,all,145,32,1857,1047,22,146144,0,0,0,0,0,E,58,AT1/AT2,49,19,6,6,6,AT1
E-165,all,71,41,1148,523,18,81151,0,0,0,0,0,E,7,Alveolar macrophage,56,41,2,2,2_6,pDC
E-166,all,30,14,1054,271,30,24437,0,0,0,0,0,E,16,Pericyte,39,14,5,5,5_1,Pericyte
E-167,all,30,15,263,1274,26,33899,0,0,0,0,0,E,15,AT1/AT2,39,15,8,8,8_2,InterstitialMac
E-168,all,11,9,829,1066,38,51784,0,0,0,0,0,E,3,Sox9+/Id2+ epithelial cell,31,9,7,7,7_3,Tcell (CD8)
E-169,all,89,42,138,558,16,87727,50,0,50,0,1,E,7,Capillary 1 cell,61,41,9,9,9,Bcell
E-171,all,112,52,997,193,24,105331,0,0,0,0,0,E,14,Alveolar fibroblast 1,45,28,3,3,3_4,AdventitialFib
E-173,all,63,9,1501,298,27,47406,0,0,0,0,0,E,57,Alveolar type 2 cell,51,9,1,1,1_3,AT2
E-174,all,90,36,1559,686,23,134523,0,0,0,0,0,E,47,Pericyte,59,35,1,1,1_3,AT2
E-176,all,45,25,1207,1073,16,71110,0,0,0,0,0,E,7,B cell,45,25,9,9,9,Bcell
E-177,all,24,17,75,148,16,38366,0,0,0,0,0,E,9,B cell,42,17,9,9,9,Bcell
E-178,all,6,5,1201,1172,16,43155,0,0,0,0,0,E,3,Neutrophil,23,8,2,2,2_2,InflamMac
E-179,all,25,17,104,115,17,28841,0,0,0,0,0,E,10,Pericyte,45,17,5,5,5_1,Pericyte
E-188,all,49,31,1261,234,17,60151,0,0,0,0,0,E,7,Alveolar fibroblast 1,52,32,2,2,2_4,Artery
E-190,all,81,27,1447,1789,20,45807,0,0,0,0,0,E,9,Alveolar type 1 cell,57,28,3,3,3_1,SMC
E-191,all,10,5,1020,1708,8,18838,0,0,0,0,0,E,2,Natural killer cell,26,5,9,9,9,Bcell
E-192,all,30,19,281,1134,15,56971,0,0,0,0,0,E,6,Inflammatory monocyte,41,20,2,2,2_5,DC
E-193,all,23,19,1170,1183,14,50682,0,0,0,0,0,E,8,Arterial endothelial cell,42,19,9,9,9,Bcell
E-195,all,33,22,1375,426,32,63546,0,0,0,0,0,E,9,Vascular smooth muscle cell,42,23,2,2,2_4,Artery
E-197,all,35,22,708,469,11,57997,0,0,0,0,0,E,4,Sox9+/Id2+ epithelial cell,43,22,8,8,8_2,InterstitialMac
E-198,all,127,39,900,1311,28,92973,0,0,0,0,0,E,31,Sox9+/Id2+ epithelial cell,46,19,6,6,6,AT1
E-202,all,26,15,986,764,8,25940,182,0,182,0,1,E,4,Neutrophil,38,16,2,2,2_2,InflamMac
E-203,all,41,26,1272,1230,9,59685,0,0,0,0,0,E,5,Capillary 1 cell,42,25,2,2,2_1,Capillary
E-204,all,179,40,1122,871,24,97864,0,0,0,0,0,E,29,Alveolar type 1 cell,50,18,6,6,6,AT1
E-205,all,19,14,823,885,29,17076,0,0,0,0,0,E,2,CD8+ T cell,36,15,1,1,1_6_2,Neutrophil
E-206,all,32,22,507,801,8,34343,0,0,0,0,0,E,4,Secondary crest myofibroblast,39,22,3,3,3_4,AdventitialFib
E-208,all,16,13,1471,173,25,41812,0,0,0,0,0,E,2,Alveolar macrophage,32,13,8,8,8_2,InterstitialMac
E-209,all,9,7,1373,1348,38,20395,0,0,0,0,0,E,2,Alveolar fibroblast 1,27,8,1,1,1_5_2,AlveolarFib
E-210,all,14,11,1010,742,9,45134,0,0,0,0,0,E,3,Capillary 1 cell,34,11,2,2,2_1,Capillary
E-211,all,13,4,1355,1418,5,17026,0,0,0,0,0,E,10,Sox9+/Id2+ epithelial cell,38,4,1,1,1_1,AT2
E-212,all,29,19,1162,1659,16,74262,0,0,0,0,0,E,6,Endothelial progenitor cell,46,18,2,2,2_1,Capillary
E-213,all,89,27,1692,1721,12,78927,0,0,0,0,0,E,16,Alveolar type 1 cell,60,27,6,6,6,AT1
E-216,all,66,34,1316,548,29,75412,51,51,0,1,0,E,2,B cell,56,34,9,9,9,Bcell
E-218,all,75,26,890,1260,31,56299,0,0,0,0,0,E,14,Venous endothelial cell,53,26,6,6,6,AT1
E-220,all,32,21,1795,1760,22,64748,0,0,0,0,0,E,12,Pericyte,39,21,5,5,5_1,Pericyte
E-221,all,10,7,1887,1105,13,13499,0,0,0,0,0,E,2,Alveolar type 1 cell,31,7,6,6,6,AT1
E-222,all,78,35,808,409,23,100518,0,0,0,0,0,E,14,Classical DC subset 2,59,35,6,6,6,AT1
E-224,all,32,19,1431,386,25,121940,0,0,0,0,0,E,5,Proliferative mesenchymal progenitor cell,42,19,7,7,7_4,PatrolMac
E-226,all,60,21,838,1895,25,76207,0,0,0,0,0,E,41,Alveolar type 2 cell,53,21,5,5,5_1,Pericyte
E-228,all,54,27,1005,1306,13,78819,51,0,51,0,1,E,10,Inflammatory monocyte,52,27,5,5,5_3,Pericyte
E-229,all,34,21,490,1652,16,55673,0,0,0,0,0,E,14,Inflammatory monocyte,44,21,1,1,1_3,AT2
E-230,all,28,22,119,1602,26,62897,0,0,0,0,0,E,4,Arterial endothelial cell,37,23,2,2,2_4,Artery
E-231,all,24,14,608,235,10,35129,0,0,0,0,0,E,10,Capillary 1 cell,40,14,2,2,2_3,Vein
E-232,all,26,15,347,82,32,36268,0,0,0,0,0,E,2,B cell,44,15,9,9,9,Bcell
E-233,all,124,54,1010,613,22,122085,56,0,56,0,1,E,25,Alveolar macrophage,46,32,8,8,8_1,AlveolarMac
E-234,all,15,10,7,1297,11,33592,0,0,0,0,0,E,2,Venous endothelial cell,34,10,2,2,2_3,Vein
E-236,all,41,19,137,94,22,30895,0,0,0,0,0,E,7,Pericyte,44,19,6,6,6,AT1
