orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
F-72,all,23,3,1630,373,9,14309,0,0,0,0,0,F,22,Capillary 1 cell,45,3,1,1,1_1,AT2
F-73,all,48,16,1065,1552,4,18799,0,0,0,0,0,F,5,Alveolar type 1 cell,48,16,6,6,6,AT1
F-74,all,15,12,455,886,11,38938,0,0,0,0,0,F,7,Secondary crest myofibroblast,30,12,5,5,5_1,Pericyte
F-75,all,15,11,131,1606,20,41439,0,0,0,0,0,F,3,Capillary 1 cell,33,11,2,2,2_3,Vein
F-76,all,9,8,1002,581,22,45641,0,0,0,0,0,F,3,Alveolar fibroblast 1,32,11,2,2,2_4,Artery
F-77,all,9,6,1915,962,7,20051,0,0,0,0,0,F,3,Sox9+/Id2+ epithelial cell,36,6,2,2,2_1,Capillary
F-78,all,100,22,1151,1474,20,87033,0,0,0,0,0,F,79,Sox9+/Id2+ epithelial cell,55,21,1,1,1_1,AT2
F-79,all,26,14,1805,672,11,51653,0,0,0,0,0,F,6,Arterial endothelial cell,46,14,2,2,2_4,Artery
F-82,all,83,19,20,1661,12,67425,0,0,0,0,0,F,17,Arterial endothelial cell,56,19,6,6,6,AT1
F-84,all,24,13,1464,1481,25,32239,0,0,0,0,0,F,4,Alveolar macrophage,41,13,8,8,8_1,AlveolarMac
F-86,all,85,24,1867,1576,23,94031,0,0,0,0,0,F,58,Alveolar type 2 cell,57,24,1,1,1_1,AT2
F-87,all,24,17,575,1887,16,43945,0,0,0,0,0,F,11,Alveolar type 2 cell,45,17,2,2,2_1,Capillary
F-88,all,15,12,1660,373,16,18025,0,0,0,0,0,F,7,Alveolar fibroblast 1,33,13,3,3,3_1,SMC
F-90,all,34,17,1582,1519,8,48856,0,0,0,0,0,F,3,Alveolar type 1 cell,41,17,6,6,6,AT1
F-93,all,53,15,1618,1648,29,78371,0,0,0,0,0,F,34,Alveolar type 2 cell,50,15,1,1,1_1,AT2
F-94,all,78,31,1491,260,21,99933,0,0,0,0,0,F,14,Inflammatory monocyte,54,32,2,2,2_1,Capillary
F-95,all,24,19,1334,631,19,56577,0,0,0,0,0,F,3,Endothelial progenitor cell,44,19,3,3,3_4,AdventitialFib
F-97,all,30,23,621,927,22,97764,0,0,0,0,0,F,6,Capillary 1 cell,39,24,3,3,3_1,SMC
F-99,all,25,16,1478,751,29,67778,0,0,0,0,0,F,7,Pericyte,44,16,5,5,5_1,Pericyte
F-100,all,38,24,575,1293,10,37198,0,0,0,0,0,F,10,Alveolar fibroblast 1,40,24,5,5,5_3,Pericyte
F-101,all,23,16,56,1617,22,90056,0,0,0,0,0,F,8,B cell,42,16,9,9,9,Bcell
F-104,all,19,14,1103,399,28,58478,0,0,0,0,0,F,2,Neutrophil,39,14,1,1,1_5_2,AlveolarFib
F-105,all,35,21,962,370,26,71640,0,0,0,0,0,F,5,Mesothelial cell,43,21,3,3,3_3,AdventitialFib
F-106,all,15,12,1577,1006,7,59716,0,0,0,0,0,F,6,Pericyte,29,12,5,5,5_1,Pericyte
F-108,all,17,8,1397,1602,33,32546,0,0,0,0,0,F,6,Alveolar fibroblast 1,39,9,2,2,2_4,Artery
F-109,all,54,32,1669,1524,20,86480,0,0,0,0,0,F,5,CD8+ T cell,56,34,2,2,2_1,Capillary
F-114,all,73,18,1889,1197,26,87851,0,0,0,0,0,F,59,Alveolar type 2 cell,53,18,1,1,1_3,AT2
F-115,all,27,17,1147,730,24,46863,0,0,0,0,0,F,10,CD8+ T cell,49,17,2,2,2_1,Capillary
F-117,all,23,14,1336,385,17,67160,0,0,0,0,0,F,3,Venous endothelial cell,42,14,2,2,2_3,Vein
F-118,all,16,14,204,1286,7,60486,0,0,0,0,0,F,5,Capillary 1 cell,29,13,2,2,2_1,Capillary
F-119,all,47,27,521,1468,8,48913,0,0,0,0,0,F,9,Capillary 1 cell,45,26,2,2,2_1,Capillary
F-121,all,14,12,576,1862,7,17350,0,0,0,0,0,F,8,Alveolar fibroblast 1,24,12,8,8,8_2,InterstitialMac
F-125,all,54,31,430,1601,9,61085,0,0,0,0,0,F,10,Arterial endothelial cell,52,31,2,2,2_4,Artery
F-127,all,10,5,621,875,34,73677,0,0,0,0,0,F,6,Proliferative mesenchymal progenitor cell,25,6,3,3,3_1,SMC
F-129,all,33,18,518,1120,13,65925,0,0,0,0,0,F,18,Alveolar macrophage,39,18,8,8,8_1,AlveolarMac
F-130,all,28,16,1535,1612,9,39379,0,0,0,0,0,F,3,Sox9+/Id2+ epithelial cell,42,16,1,1,1_3,AT2
F-131,all,30,21,1653,333,8,45648,0,0,0,0,0,F,9,Vascular smooth muscle cell,37,21,5,5,5_1,Pericyte
F-133,all,56,29,972,450,14,74604,0,0,0,0,0,F,12,Neutrophil,54,29,5,5,5_3,Pericyte
F-134,all,18,12,102,1519,32,56420,0,0,0,0,0,F,4,Natural killer cell,39,13,2,2,2_5,DC
F-135,all,36,20,1336,331,11,72664,0,0,0,0,0,F,7,B cell,40,20,7,7,7_2,PatrolMac
F-136,all,85,23,335,1326,31,69932,0,0,0,0,0,F,54,Alveolar type 2 cell,55,23,1,1,1_1,AT2
F-141,all,40,12,1859,781,20,88120,0,0,0,0,0,F,34,Alveolar type 2 cell,45,12,1,1,1_3,AT2
F-143,all,58,33,520,1707,24,102056,0,0,0,0,0,F,13,Arterial endothelial cell,56,33,7,7,7_2,PatrolMac
F-145,all,22,10,169,1010,8,42343,0,0,0,0,0,F,6,Alveolar fibroblast 1,41,11,1,1,1_4_3,AlveolarFib
F-146,all,41,20,1537,265,17,63052,0,0,0,0,0,F,2,Alveolar fibroblast 1,44,21,1,1,1_4_1,AlveolarFib
F-147,all,13,8,1509,1450,10,23338,0,0,0,0,0,F,6,B cell,28,8,9,9,9,Bcell
F-150,all,98,32,1872,30,14,86424,0,0,0,0,0,F,8,Alveolar type 1 cell,60,30,6,6,6,AT1
F-151,all,14,8,565,278,5,10445,0,0,0,0,0,F,2,Venous endothelial cell,32,8,2,2,2_3,Vein
F-153,all,23,17,1811,614,24,70327,0,0,0,0,0,F,6,Endothelial progenitor cell,41,17,3,3,3_4,AdventitialFib
F-154,all,20,16,1887,1889,20,92668,0,0,0,0,0,F,6,Pericyte,37,16,5,5,5_3,Pericyte
F-155,all,33,20,931,63,23,59025,0,0,0,0,0,F,3,B cell,40,20,9,9,9,Bcell
F-156,all,47,19,1015,428,24,66607,0,0,0,0,0,F,10,Alveolar type 1 cell,47,19,6,6,6,AT1
F-159,all,37,24,625,1549,10,53086,0,0,0,0,0,F,6,Alveolar type 1 cell,42,24,2,2,2_1,Capillary
F-160,all,47,36,21,1050,23,99324,0,0,0,0,0,F,6,Arterial endothelial cell,50,37,3,3,3_5,SMC
F-161,all,70,37,201,1554,18,103480,0,0,0,0,0,F,31,Pericyte,58,37,5,5,5_1,Pericyte
