,column,row,z,gene_name,cell_barcode,raw_cell_barcode,gridc_gridr_tilenum
0,1877,9,0,Ccr2,344,343,"0,0,56"
1,1742,105,0,Vegfa,7,6,"0,0,56"
2,1719,443,0,Pias1,22,21,"0,0,56"
3,1944,16,2,Usp18,274,273,"0,0,56"
4,1715,473,2,Mcl1,22,21,"0,0,56"
5,1743,105,3,Vegfa,7,6,"0,0,56"
6,1738,105,3,Rtkn2,7,6,"0,0,56"
7,1748,23,4,Il4ra,156,155,"0,0,56"
8,1733,129,4,Rtkn2,7,6,"0,0,56"
9,1650,130,4,Irf9,246,245,"0,0,56"
10,1631,138,4,Nr4a1,246,245,"0,0,56"
11,1743,86,5,Rtkn2,7,6,"0,0,56"
12,1695,127,5,Il18bp,217,216,"0,0,56"
13,1957,8,6,Ccr2,274,273,"0,0,56"
14,1741,16,6,Irf9,398,397,"0,0,56"
15,1731,21,6,Mmp3,398,397,"0,0,56"
16,1730,95,6,Vegfa,7,6,"0,0,56"
17,1622,132,6,Nr4a1,246,245,"0,0,56"
18,1830,277,6,Blvra,265,264,"0,0,56"
19,1724,440,6,Ifnar2,22,21,"0,0,56"
20,1944,2,7,Ccr2,274,273,"0,0,56"
21,1722,10,7,Rtkn2,398,397,"0,0,56"
22,1740,18,7,Irf9,398,397,"0,0,56"
23,1729,19,7,Mmp3,398,397,"0,0,56"
24,1745,66,7,Vegfa,41,40,"0,0,56"
25,1727,85,7,Vegfa,7,6,"0,0,56"
26,1727,87,7,Vegfa,7,6,"0,0,56"
27,1737,97,7,Vegfa,7,6,"0,0,56"
28,1743,100,7,Vegfa,7,6,"0,0,56"
29,1736,109,7,Rtkn2,7,6,"0,0,56"
30,1682,173,7,Il4ra,12,11,"0,0,56"
31,1824,308,7,Vegfa,183,182,"0,0,56"
32,1694,464,7,Vegfa,171,170,"0,0,56"
33,1955,10,8,Ccr2,274,273,"0,0,56"
34,1691,319,8,Sftpc,296,295,"0,0,56"
35,1874,327,8,Vegfa,183,182,"0,0,56"
36,1747,68,9,Il4ra,41,40,"0,0,56"
37,1736,89,9,Vegfa,7,6,"0,0,56"
38,1728,94,9,Vegfa,7,6,"0,0,56"
39,1740,102,9,Vegfa,7,6,"0,0,56"
40,1566,103,9,Ifnar2,45,44,"0,0,56"
41,1739,106,9,Vegfa,7,6,"0,0,56"
42,1778,134,9,Pias1,10,9,"0,0,56"
43,1608,422,9,Pias1,292,291,"0,0,56"
44,1595,428,9,Cd274,292,291,"0,0,56"
45,1704,442,9,Notch3,22,21,"0,0,56"
46,1885,11,10,Itgae,344,343,"0,0,56"
47,1760,36,10,Il6st,156,155,"0,0,56"
48,1731,92,10,Vegfa,7,6,"0,0,56"
49,1734,121,10,Vegfa,7,6,"0,0,56"
50,1775,133,10,Pias1,10,9,"0,0,56"
51,1767,142,10,Irf9,10,9,"0,0,56"
52,1830,257,10,Adam10,265,264,"0,0,56"
53,1826,282,10,Il4ra,265,264,"0,0,56"
54,1895,316,10,Blvra,183,182,"0,0,56"
55,1719,449,10,Ifnar2,22,21,"0,0,56"
56,1665,477,10,Blvra,171,170,"0,0,56"
57,1742,501,10,Cd274,43,42,"0,0,56"
58,1977,2,11,Ccr2,274,273,"0,0,56"
59,1898,4,11,Mcl1,344,343,"0,0,56"
60,1919,12,12,Traf6,274,273,"0,0,56"
61,1761,34,11,Il6st,156,155,"0,0,56"
62,1761,62,11,Rsad2,420,419,"0,0,56"
63,1762,64,11,Rsad2,420,419,"0,0,56"
64,1747,64,11,Il4ra,41,40,"0,0,56"
65,1747,66,11,Il4ra,41,40,"0,0,56"
66,1734,91,11,Vegfa,7,6,"0,0,56"
67,1727,100,11,Vegfa,7,6,"0,0,56"
68,1735,119,11,Vegfa,7,6,"0,0,56"
69,1691,126,11,Mcl1,12,11,"0,0,56"
70,1724,151,11,Cxcr2,217,216,"0,0,56"
71,1824,282,11,Il4ra,265,264,"0,0,56"
72,1868,304,11,Vegfa,183,182,"0,0,56"
73,1601,425,11,Pias1,292,291,"0,0,56"
74,1595,438,11,Cd274,292,291,"0,0,56"
75,1742,1,12,Smad3,398,397,"0,0,56"
76,1679,125,12,Socs3,12,11,"0,0,56"
77,1780,132,12,Pias1,10,9,"0,0,56"
78,1631,411,12,Scgb1a1,292,291,"0,0,56"
79,1621,417,12,Il6st,292,291,"0,0,56"
80,1704,469,12,Il18bp,22,21,"0,0,56"
81,1678,505,12,Vegfa,35,34,"0,0,56"
82,1854,6,13,Vegfa,344,343,"0,0,56"
83,1718,89,13,Nfkbia,7,6,"0,0,56"
84,1728,112,13,Vegfa,7,6,"0,0,56"
85,1784,161,13,Notch3,10,9,"0,0,56"
86,1681,338,13,Irf9,296,295,"0,0,56"
87,1650,401,13,Vegfa,148,147,"0,0,56"
88,1603,430,13,Apaf1,292,291,"0,0,56"
89,1620,444,13,Nfkb1,292,291,"0,0,56"
90,1719,473,13,Prdm1,22,21,"0,0,56"
91,1673,488,13,Cxcr2,171,170,"0,0,56"
92,1852,2,14,Vegfa,344,343,"0,0,56"
93,1750,80,14,Vegfa,420,419,"0,0,56"
94,1727,101,14,Vegfa,7,6,"0,0,56"
95,1738,118,14,Vegfa,7,6,"0,0,56"
96,1634,124,14,Nr4a1,246,245,"0,0,56"
97,1776,128,14,Pias1,10,9,"0,0,56"
98,1682,470,14,Rtkn2,171,170,"0,0,56"
99,1730,82,15,Vegfa,7,6,"0,0,56"
100,1744,83,15,Vegfa,420,419,"0,0,56"
101,1743,97,15,Vegfa,7,6,"0,0,56"
102,1706,107,15,Il6st,217,216,"0,0,56"
103,1728,113,15,Vegfa,7,6,"0,0,56"
104,1682,125,15,Vegfa,12,11,"0,0,56"
105,1735,136,15,Vegfa,7,6,"0,0,56"
106,1674,491,15,Cxcr2,171,170,"0,0,56"
107,1767,59,16,Rsad2,420,419,"0,0,56"
108,1746,95,16,Vegfa,7,6,"0,0,56"
109,1825,312,16,Ifnar2,183,182,"0,0,56"
110,1645,407,16,Socs3,148,147,"0,0,56"
111,1555,5,17,Irf1,27,26,"0,0,56"
112,1766,62,17,Rsad2,420,419,"0,0,56"
113,1745,115,17,Vegfa,7,6,"0,0,56"
114,1678,147,17,Nfkbia,12,11,"0,0,56"
115,1675,147,17,Nfkbia,12,11,"0,0,56"
116,1871,325,17,Vegfa,183,182,"0,0,56"
117,1852,326,17,Ifnlr1,183,182,"0,0,56"
118,1596,433,17,Rsph1,292,291,"0,0,56"
119,1750,0,18,Mcl1,156,155,"0,0,56"
120,1554,14,18,Tgfb1,27,26,"0,0,56"
121,1542,56,18,Mcl1,321,320,"0,0,56"
122,1743,87,18,Vegfa,7,6,"0,0,56"
123,1724,87,18,Vegfa,7,6,"0,0,56"
124,1722,112,18,Vegfa,7,6,"0,0,56"
125,1713,115,18,Apaf1,217,216,"0,0,56"
126,1673,129,18,Mcl1,12,11,"0,0,56"
127,1846,268,18,Il6st,265,264,"0,0,56"
128,1888,316,18,Mcl1,183,182,"0,0,56"
129,1876,327,18,Vegfa,183,182,"0,0,56"
130,1691,451,18,Apaf1,22,21,"0,0,56"
131,1764,8,19,Tgfb1,156,155,"0,0,56"
132,1748,84,19,Vegfa,420,419,"0,0,56"
133,1888,310,19,Mcl1,183,182,"0,0,56"
134,1886,319,19,Mcl1,183,182,"0,0,56"
135,1848,328,19,Col1a2,183,182,"0,0,56"
136,1856,329,19,Vegfa,183,182,"0,0,56"
137,1595,436,19,Rsph1,292,291,"0,0,56"
138,1717,462,19,Ccl5,22,21,"0,0,56"
139,1543,56,20,Mcl1,321,320,"0,0,56"
140,1735,76,20,Vegfa,41,40,"0,0,56"
141,1726,83,20,Vegfa,7,6,"0,0,56"
142,1732,90,20,Vegfa,7,6,"0,0,56"
143,1676,141,20,Vegfa,12,11,"0,0,56"
144,1832,272,20,Il10ra,265,264,"0,0,56"
145,1830,313,20,Il4ra,183,182,"0,0,56"
146,1889,313,20,Mcl1,183,182,"0,0,56"
147,1876,329,20,Vegfa,183,182,"0,0,56"
148,1702,449,20,Icam1,22,21,"0,0,56"
149,1705,453,20,Icam1,22,21,"0,0,56"
150,1763,7,21,Tgfb1,156,155,"0,0,56"
151,1767,30,21,Pias1,156,155,"0,0,56"
152,1767,32,21,Pias1,156,155,"0,0,56"
153,1728,112,21,Vegfa,7,6,"0,0,56"
154,1738,113,21,Vegfa,7,6,"0,0,56"
155,1686,120,21,Ifnlr1,12,11,"0,0,56"
156,1685,123,21,Ifnlr1,12,11,"0,0,56"
157,1689,135,21,Prdm1,12,11,"0,0,56"
158,1799,152,21,Mcl1,10,9,"0,0,56"
159,1868,286,21,Col1a2,183,182,"0,0,56"
160,1874,329,21,Vegfa,183,182,"0,0,56"
161,1627,401,21,Il4ra,292,291,"0,0,56"
162,1872,5,22,Foxp3,344,343,"0,0,56"
163,1740,99,22,Vegfa,7,6,"0,0,56"
164,1833,271,22,Il10ra,265,264,"0,0,56"
165,1675,465,22,Il6st,171,170,"0,0,56"
166,1615,496,22,Vegfa,401,400,"0,0,56"
167,1599,28,23,Nfkbia,27,26,"0,0,56"
168,1573,52,23,Etv5,27,26,"0,0,56"
169,1862,59,23,Il4ra,2,1,"0,0,56"
170,1600,96,23,Il4ra,45,44,"0,0,56"
171,1749,98,23,Vegfa,7,6,"0,0,56"
172,1739,106,23,Vegfa,7,6,"0,0,56"
173,1600,114,23,Tgfb1,45,44,"0,0,56"
174,1708,134,23,Irf9,217,216,"0,0,56"
175,1787,137,23,Notch3,10,9,"0,0,56"
176,1822,278,23,Cd274,265,264,"0,0,56"
177,1617,497,23,Vegfa,401,400,"0,0,56"
178,1546,51,24,Nr4a1,329,328,"0,0,56"
179,1780,53,24,Rsad2,198,197,"0,0,56"
180,1658,59,24,Tgfb1,132,131,"0,0,56"
181,1739,68,24,Il4ra,41,40,"0,0,56"
182,1844,68,24,Vegfa,82,81,"0,0,56"
183,1771,92,24,Bst2,420,419,"0,0,56"
184,1737,93,24,Rtkn2,7,6,"0,0,56"
185,1772,94,24,Bst2,420,419,"0,0,56"
186,1602,113,24,Tgfb1,45,44,"0,0,56"
187,1827,269,24,Cd274,265,264,"0,0,56"
188,1628,400,24,Il4ra,292,291,"0,0,56"
189,1669,492,24,Lmod1,171,170,"0,0,56"
190,1671,498,24,Vegfa,35,34,"0,0,56"
191,1863,53,25,Mcl1,2,1,"0,0,56"
192,1649,67,25,Il18bp,132,131,"0,0,56"
193,1741,70,25,Il17a,41,40,"0,0,56"
194,1736,70,25,Mcl1,41,40,"0,0,56"
195,1753,97,25,Vegfa,420,419,"0,0,56"
196,1737,120,25,Vegfa,7,6,"0,0,56"
197,1765,145,25,Tnfrsf21,10,9,"0,0,56"
198,1884,310,25,Nfkbia,183,182,"0,0,56"
199,1626,404,25,Il4ra,292,291,"0,0,56"
200,1670,500,25,Vegfa,35,34,"0,0,56"
201,1599,1,26,Bst2,27,26,"0,0,56"
202,1569,43,26,Sftpc,27,26,"0,0,56"
203,1862,57,26,Mcl1,2,1,"0,0,56"
204,1661,60,26,Tgfb1,132,131,"0,0,56"
205,1729,116,26,Rtkn2,7,6,"0,0,56"
206,1610,417,26,Nfkbia,292,291,"0,0,56"
207,1549,26,27,Sftpc,329,328,"0,0,56"
208,1736,117,27,Il18bp,7,6,"0,0,56"
209,1767,146,27,Tnfrsf21,10,9,"0,0,56"
210,1657,505,27,Col1a2,401,400,"0,0,56"
211,1872,7,28,Vegfa,344,343,"0,0,56"
212,1842,71,28,Tgfb1,82,81,"0,0,56"
213,1883,300,28,Apaf1,183,182,"0,0,56"
214,1867,36,29,Nfkbia,2,1,"0,0,56"
215,1607,69,29,Itgb6,45,44,"0,0,56"
216,1822,87,29,Cd274,82,81,"0,0,56"
217,1722,102,29,Vegfa,7,6,"0,0,56"
218,1607,404,29,Mcl1,292,291,"0,0,56"
219,1565,11,30,Nfkbia,27,26,"0,0,56"
220,1599,58,30,Vegfa,27,26,"0,0,56"
221,1594,67,30,Adam10,45,44,"0,0,56"
222,1843,71,30,Tgfb1,82,81,"0,0,56"
223,1753,70,30,Vegfa,420,419,"0,0,56"
224,1593,73,30,Rtkn2,45,44,"0,0,56"
225,1672,75,30,Socs3,132,131,"0,0,56"
226,1607,75,30,Rtkn2,45,44,"0,0,56"
227,1605,78,30,Rtkn2,45,44,"0,0,56"
228,1819,82,30,Cd274,82,81,"0,0,56"
229,1576,122,30,Trim25,45,44,"0,0,56"
230,1623,408,30,Ccr2,292,291,"0,0,56"
231,1603,47,31,Vegfa,27,26,"0,0,56"
232,1859,50,31,Irf1,2,1,"0,0,56"
233,1833,286,31,Cxcl2,265,264,"0,0,56"
234,1751,45,32,Nfkbia,41,40,"0,0,56"
235,1721,56,32,Il6st,41,40,"0,0,56"
236,1597,58,32,Vegfa,27,26,"0,0,56"
237,1593,65,32,Adam10,45,44,"0,0,56"
238,1586,92,32,Cflar,45,44,"0,0,56"
239,1790,143,32,Tnfrsf21,10,9,"0,0,56"
240,1792,146,32,Tnfrsf21,10,9,"0,0,56"
241,1852,327,32,Ctla4,183,182,"0,0,56"
242,1628,40,33,Vegfa,132,131,"0,0,56"
243,1605,61,33,Vegfa,27,26,"0,0,56"
244,1590,75,33,Rtkn2,45,44,"0,0,56"
245,1756,115,33,Nfkbia,7,6,"0,0,56"
246,1590,255,33,Irf9,318,317,"0,0,56"
247,1542,3,34,Mcl1,329,328,"0,0,56"
248,1647,46,34,Foxp3,132,131,"0,0,56"
249,1609,58,35,Vegfa,27,26,"0,0,56"
250,1663,63,34,Apaf1,132,131,"0,0,56"
251,1817,74,34,Bst2,82,81,"0,0,56"
252,1556,75,34,Vegfa,45,44,"0,0,56"
253,1589,228,34,Tgfb1,318,317,"0,0,56"
254,1851,289,34,Csf2,183,182,"0,0,56"
255,1545,6,35,Mcl1,329,328,"0,0,56"
256,1852,34,35,Apaf1,2,1,"0,0,56"
257,1556,52,35,Irf1,329,328,"0,0,56"
258,1626,60,35,Bst2,132,131,"0,0,56"
259,1661,61,35,Apaf1,132,131,"0,0,56"
260,1609,61,35,Vegfa,27,26,"0,0,56"
261,1626,62,35,Bst2,132,131,"0,0,56"
262,1818,76,35,Bst2,82,81,"0,0,56"
263,1591,230,35,Tgfb1,318,317,"0,0,56"
264,1589,252,35,Irf9,318,317,"0,0,56"
265,1597,275,35,Irf9,318,317,"0,0,56"
266,1547,5,36,Mcl1,329,328,"0,0,56"
267,1776,35,36,Il4ra,198,197,"0,0,56"
268,1553,39,36,Mcl1,329,328,"0,0,56"
269,1754,43,36,Nfkbia,198,197,"0,0,56"
270,1604,53,36,Vegfa,27,26,"0,0,56"
271,1595,68,36,Mcl1,45,44,"0,0,56"
272,1591,228,36,Tgfb1,318,317,"0,0,56"
273,1586,258,36,Il2ra,318,317,"0,0,56"
274,1847,289,36,Csf2,183,182,"0,0,56"
275,1845,324,36,Irf9,183,182,"0,0,56"
276,1600,45,37,Mcl1,27,26,"0,0,56"
277,1611,58,37,Vegfa,132,131,"0,0,56"
278,1601,60,37,Irf1,27,26,"0,0,56"
279,1598,65,37,Vegfa,45,44,"0,0,56"
280,1584,75,37,Rtkn2,45,44,"0,0,56"
281,1587,76,37,Rtkn2,45,44,"0,0,56"
282,1597,244,37,Col1a2,318,317,"0,0,56"
283,1825,304,37,Nfkb1,183,182,"0,0,56"
284,1581,23,38,Mcl1,27,26,"0,0,56"
285,1656,54,38,Apaf1,132,131,"0,0,56"
286,1605,57,38,Mcl1,27,26,"0,0,56"
287,1590,57,38,Vegfa,27,26,"0,0,56"
288,1712,59,38,Il6st,41,40,"0,0,56"
289,1614,64,38,Vegfa,132,131,"0,0,56"
290,1580,243,38,Etv5,318,317,"0,0,56"
291,1846,308,38,Cxcr3,183,182,"0,0,56"
292,1832,310,39,Nfkb1,183,182,"0,0,56"
293,1599,63,39,Vegfa,45,44,"0,0,56"
294,1588,79,39,Rtkn2,45,44,"0,0,56"
295,1590,82,39,Rtkn2,45,44,"0,0,56"
296,1597,83,39,Mcl1,45,44,"0,0,56"
297,1560,93,39,Vegfa,45,44,"0,0,56"
298,1580,249,39,Itgae,318,317,"0,0,56"
299,1841,327,39,Hhip,183,182,"0,0,56"
300,1570,30,40,Bank1,27,26,"0,0,56"
301,1614,36,40,Pias1,132,131,"0,0,56"
302,1605,50,40,Socs3,27,26,"0,0,56"
303,1592,45,41,Vegfa,27,26,"0,0,56"
304,1596,64,41,Vegfa,45,44,"0,0,56"
305,1570,77,41,Prdm1,45,44,"0,0,56"
306,1588,81,41,Rtkn2,45,44,"0,0,56"
307,1579,81,41,Vegfa,45,44,"0,0,56"
308,1734,107,41,Col1a2,7,6,"0,0,56"
309,1537,109,41,Irf1,290,289,"0,0,56"
310,1592,206,41,Col1a2,318,317,"0,0,56"
311,1596,235,41,Il18bp,318,317,"0,0,56"
312,1597,242,41,Apaf1,318,317,"0,0,56"
313,1599,249,41,Apaf1,318,317,"0,0,56"
314,1589,261,41,Il4ra,318,317,"0,0,56"
315,1614,34,42,Pias1,132,131,"0,0,56"
316,1610,37,42,Vegfa,27,26,"0,0,56"
317,1598,43,42,Vegfa,27,26,"0,0,56"
318,1589,73,42,Vegfa,45,44,"0,0,56"
319,1539,99,42,Notch3,290,289,"0,0,56"
320,1596,227,42,Cxcr2,318,317,"0,0,56"
321,1600,45,43,Vegfa,27,26,"0,0,56"
322,1655,51,43,Il10ra,132,131,"0,0,56"
323,1586,56,43,Rtkn2,27,26,"0,0,56"
324,1602,63,43,Itgb6,27,26,"0,0,56"
325,1598,63,43,Vegfa,45,44,"0,0,56"
326,1593,64,43,Vegfa,45,44,"0,0,56"
327,1741,83,43,Blvra,7,6,"0,0,56"
328,1601,53,44,Vegfa,27,26,"0,0,56"
329,1595,68,44,Vegfa,45,44,"0,0,56"
330,1582,80,44,Vegfa,45,44,"0,0,56"
331,1656,133,0,Sftpc,246,245,"0,0,56"
332,1657,144,0,Kdr,426,425,"0,0,56"
333,1689,319,0,Sftpc,296,295,"0,0,56"
334,1687,324,0,Sftpc,296,295,"0,0,56"
335,1687,333,0,Sftpc,296,295,"0,0,56"
336,1721,469,0,Adam17,22,21,"0,0,56"
337,1650,248,1,Sftpc,421,420,"0,0,56"
338,1741,129,2,Npnt,7,6,"0,0,56"
339,1681,325,2,Sftpc,296,295,"0,0,56"
340,1649,253,3,Sftpc,421,420,"0,0,56"
341,1677,333,3,Sftpc,296,295,"0,0,56"
342,1660,456,3,Sftpc,171,170,"0,0,56"
343,1652,460,3,Sftpc,171,170,"0,0,56"
344,1654,135,4,Sftpc,246,245,"0,0,56"
345,1686,320,4,Sftpc,296,295,"0,0,56"
346,1689,476,4,Sftpc,171,170,"0,0,56"
347,1632,115,5,Cxcr1,246,245,"0,0,56"
348,1654,145,5,Sftpc,426,425,"0,0,56"
349,1691,152,5,Ddx58,12,11,"0,0,56"
350,1659,156,5,Sftpc,426,425,"0,0,56"
351,1700,454,5,Nlrp3,22,21,"0,0,56"
352,1677,466,5,Sftpc,171,170,"0,0,56"
353,1731,110,6,Lama3,7,6,"0,0,56"
354,1621,123,6,Sftpc,246,245,"0,0,56"
355,1834,297,6,Bcl2l1,183,182,"0,0,56"
356,1692,318,6,Sftpc,296,295,"0,0,56"
357,1679,330,6,Sftpc,296,295,"0,0,56"
358,1720,440,6,Pdgfrb,22,21,"0,0,56"
359,1663,450,6,Sftpc,171,170,"0,0,56"
360,1646,453,6,Sftpc,171,170,"0,0,56"
361,1644,123,7,Sftpc,246,245,"0,0,56"
362,1616,127,7,Sftpc,246,245,"0,0,56"
363,1651,131,7,Ccr7,246,245,"0,0,56"
364,1642,156,7,Sftpc,426,425,"0,0,56"
365,1660,161,7,Sftpc,426,425,"0,0,56"
366,1868,318,7,Bcl2l1,183,182,"0,0,56"
367,1655,449,7,Sftpc,171,170,"0,0,56"
368,1650,449,7,Sftpc,171,170,"0,0,56"
369,1639,463,7,Sftpc,171,170,"0,0,56"
370,1688,486,7,Sftpc,171,170,"0,0,56"
371,1683,489,7,Sftpc,171,170,"0,0,56"
372,1672,450,8,Sftpc,171,170,"0,0,56"
373,1709,462,8,Npnt,22,21,"0,0,56"
374,1721,463,8,Pdgfrb,22,21,"0,0,56"
375,1690,463,8,Sftpc,171,170,"0,0,56"
376,1661,480,8,Sftpc,171,170,"0,0,56"
377,1740,122,9,Lama3,7,6,"0,0,56"
378,1635,124,9,Sftpc,246,245,"0,0,56"
379,1640,128,9,Sftpc,246,245,"0,0,56"
380,1651,141,10,Sftpc,246,245,"0,0,56"
381,1675,457,9,Sftpc,171,170,"0,0,56"
382,1715,480,9,Itga5,22,21,"0,0,56"
383,1639,116,10,Sftpc,246,245,"0,0,56"
384,1637,124,10,Sftpc,246,245,"0,0,56"
385,1631,144,10,Sftpc,246,245,"0,0,56"
386,1701,165,10,Itga5,217,216,"0,0,56"
387,1685,496,10,Sftpc,35,34,"0,0,56"
388,1946,2,11,Ifngr1,274,273,"0,0,56"
389,1630,112,11,Sftpc,246,245,"0,0,56"
390,1633,120,11,Sftpc,246,245,"0,0,56"
391,1691,346,11,Casp8,296,295,"0,0,56"
392,1659,458,11,Sftpc,171,170,"0,0,56"
393,1668,460,11,Sftpc,171,170,"0,0,56"
394,1684,464,11,Sftpc,171,170,"0,0,56"
395,1704,481,11,Itga5,22,21,"0,0,56"
396,1654,484,11,Sftpc,171,170,"0,0,56"
397,1753,25,12,Nrp2,156,155,"0,0,56"
398,1698,106,12,Dusp8,217,216,"0,0,56"
399,1635,116,12,Sftpc,246,245,"0,0,56"
400,1636,128,12,Sftpc,246,245,"0,0,56"
401,1701,137,12,Casp8,217,216,"0,0,56"
402,1642,138,12,Sftpc,246,245,"0,0,56"
403,1777,170,12,Plxnd1,10,9,"0,0,56"
404,1774,170,12,Plxnd1,10,9,"0,0,56"
405,1642,401,12,Cxcl1,148,147,"0,0,56"
406,1598,418,12,Psmb9,292,291,"0,0,56"
407,1652,454,12,Sftpc,171,170,"0,0,56"
408,1635,454,12,Sftpc,171,170,"0,0,56"
409,1635,461,12,Sftpc,171,170,"0,0,56"
410,1683,494,12,Sftpc,35,34,"0,0,56"
411,1722,87,13,Npnt,7,6,"0,0,56"
412,1574,91,13,Cxcr1,45,44,"0,0,56"
413,1571,92,13,Cxcr1,45,44,"0,0,56"
414,1623,115,13,Sftpc,246,245,"0,0,56"
415,1633,117,13,Sftpc,246,245,"0,0,56"
416,1660,132,13,Sftpc,246,245,"0,0,56"
417,1655,459,14,Sftpc,171,170,"0,0,56"
418,1665,461,14,Sftpc,171,170,"0,0,56"
419,1667,466,14,Sftpc,171,170,"0,0,56"
420,1677,127,15,Casp8,12,11,"0,0,56"
421,1678,154,15,Plxnd1,12,11,"0,0,56"
422,1860,298,15,Npnt,183,182,"0,0,56"
423,1878,305,15,Ifngr1,183,182,"0,0,56"
424,1638,472,15,Sftpc,171,170,"0,0,56"
425,1649,487,15,Sftpc,401,400,"0,0,56"
426,1894,6,16,Tradd,344,343,"0,0,56"
427,1606,29,16,Lama3,27,26,"0,0,56"
428,1645,125,16,Sftpc,246,245,"0,0,56"
429,1860,285,16,Npnt,183,182,"0,0,56"
430,1642,450,16,Sftpc,171,170,"0,0,56"
431,1636,452,16,Sftpc,171,170,"0,0,56"
432,1646,454,16,Sftpc,171,170,"0,0,56"
433,1627,500,16,Bcl2l1,401,400,"0,0,56"
434,1636,456,17,Sftpc,171,170,"0,0,56"
435,1644,465,17,Rorc,171,170,"0,0,56"
436,1678,474,17,Sftpc,171,170,"0,0,56"
437,1703,495,17,Sftpc,35,34,"0,0,56"
438,1652,123,18,Sftpc,246,245,"0,0,56"
439,1809,275,18,Il4,265,264,"0,0,56"
440,1841,324,18,Npnt,183,182,"0,0,56"
441,1895,327,18,Plxnd1,183,182,"0,0,56"
442,1650,457,18,Sftpc,171,170,"0,0,56"
443,1663,503,18,Sftpc,35,34,"0,0,56"
444,1550,51,19,Sftpc,329,328,"0,0,56"
445,1642,125,19,Sftpc,246,245,"0,0,56"
446,1646,127,19,Sftpc,246,245,"0,0,56"
447,1834,272,19,Itga5,265,264,"0,0,56"
448,1870,293,19,Tradd,183,182,"0,0,56"
449,1631,409,19,Trim30a,292,291,"0,0,56"
450,1659,473,19,Sftpc,171,170,"0,0,56"
451,1655,494,19,Sftpc,401,400,"0,0,56"
452,1549,36,20,Sftpc,329,328,"0,0,56"
453,1553,48,20,Sftpc,329,328,"0,0,56"
454,1688,144,20,Bcl2l1,12,11,"0,0,56"
455,1684,499,20,Sftpc,35,34,"0,0,56"
456,1702,501,20,Sftpc,35,34,"0,0,56"
457,1544,46,21,Sftpc,329,328,"0,0,56"
458,1569,47,21,Sftpc,27,26,"0,0,56"
459,1550,59,21,Sftpc,321,320,"0,0,56"
460,1887,294,21,Ppara,183,182,"0,0,56"
461,1673,497,21,Sftpc,35,34,"0,0,56"
462,1540,49,22,Sftpc,329,328,"0,0,56"
463,1622,67,22,Sftpc,132,131,"0,0,56"
464,1748,113,22,Casp8,7,6,"0,0,56"
465,1655,462,22,Sftpc,171,170,"0,0,56"
466,1572,56,23,Prrx1,27,26,"0,0,56"
467,1548,63,23,Sftpc,321,320,"0,0,56"
468,1563,73,23,Sftpc,45,44,"0,0,56"
469,1861,327,23,Bcl2l1,183,182,"0,0,56"
470,1863,329,23,Bcl2l1,183,182,"0,0,56"
471,1638,452,23,Sftpc,171,170,"0,0,56"
472,1648,459,23,Sftpc,171,170,"0,0,56"
473,1657,492,23,Sftpc,171,170,"0,0,56"
474,1555,35,24,Sftpc,329,328,"0,0,56"
475,1569,43,24,Sftpc,27,26,"0,0,56"
476,1555,43,24,Sftpc,329,328,"0,0,56"
477,1742,67,24,Plxnd1,41,40,"0,0,56"
478,1697,110,24,Ly6c2,217,216,"0,0,56"
479,1655,476,24,Sftpc,171,170,"0,0,56"
480,1666,498,24,Ifngr1,171,170,"0,0,56"
481,1872,49,25,Ifnar1,2,1,"0,0,56"
482,1780,82,25,Dusp8,420,419,"0,0,56"
483,1543,26,26,Sftpc,329,328,"0,0,56"
484,1536,35,26,Sftpc,329,328,"0,0,56"
485,1570,39,26,Sftpc,27,26,"0,0,56"
486,1565,50,26,Sftpc,27,26,"0,0,56"
487,1793,147,26,Nrp2,10,9,"0,0,56"
488,1640,459,26,Sftpc,171,170,"0,0,56"
489,1550,27,27,Sftpc,329,328,"0,0,56"
490,1566,42,27,Sftpc,27,26,"0,0,56"
491,1846,49,27,Bcl2l1,2,1,"0,0,56"
492,1624,71,27,Ppara,132,131,"0,0,56"
493,1558,32,28,Sftpc,329,328,"0,0,56"
494,1560,36,28,Sftpc,329,328,"0,0,56"
495,1562,38,28,Sftpc,329,328,"0,0,56"
496,1568,46,28,Sftpc,27,26,"0,0,56"
497,1562,53,28,Sftpc,329,328,"0,0,56"
498,1620,433,28,Sftpc,292,291,"0,0,56"
499,1619,505,28,Psmb9,401,400,"0,0,56"
500,1567,39,29,Sftpc,27,26,"0,0,56"
501,1854,302,29,Traf1,183,182,"0,0,56"
502,1537,28,30,Sftpc,329,328,"0,0,56"
503,1558,36,30,Sftpc,329,328,"0,0,56"
504,1565,44,30,Sftpc,329,328,"0,0,56"
505,1743,88,30,Tradd,7,6,"0,0,56"
506,1561,40,31,Sftpc,329,328,"0,0,56"
507,1542,31,32,Npnt,329,328,"0,0,56"
508,1549,36,32,Sftpc,329,328,"0,0,56"
509,1654,67,32,Kdr,132,131,"0,0,56"
510,1825,288,32,Ppara,265,264,"0,0,56"
511,1599,62,33,Lama3,45,44,"0,0,56"
512,1585,28,36,Npnt,27,26,"0,0,56"
513,1857,31,36,Bcl2l1,2,1,"0,0,56"
514,1752,112,36,Itga5,7,6,"0,0,56"
515,1744,117,36,Itga5,7,6,"0,0,56"
516,1610,50,37,Rorc,132,131,"0,0,56"
