,AirwayEpithelial,AT1,AT2,Fibroblast,VascularSMC,BloodEndothelial,Monocyte,AlveolarMac,pDC,Granulocytes,Neutrophil,Tcell,Bcell
8,5.555555555555555,16.666666666666664,14.285714285714285,,,50,0,0,,0,20,9.090909090909092,0
9,,,33.33333333333333,,,,,,,,,0,
10,,,,,,,,,,,,,
11,0,,,,,50,,,,,,0,
12,,,,,,,,,,,,25,
13,,,,,,,,,,,,0,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,50,
16,0,,,,,,,,,,,0,
17,,,,,,,0,,,,,0,
18,,,0,,,,,,,,,0,
19,,,,,,,,,,,,0,
20,,,,,,,,,,,,0,
21,,,0,,,,,,,,,,
22,,,0,,,,,,,,,,
23,,,,,,,,,,,,0,
24,0,,,,,,,,,,,18.181818181818183,16.666666666666664
25,,,,,,,,,0,,,12.5,
26,0,,,,,,,0,,,,28.57142857142857,
27,,,,,,,,0,,,,33.33333333333333,
28,27.906976744186046,0,0,,,,0,,,0,0,7.6923076923076925,33.33333333333333
29,0,,,,,,,,,,,,
30,0,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,50,,,,,,
33,,0,,,,,,,,,,0,
34,,,,,,,,0,,,,33.33333333333333,
35,19.047619047619047,33.33333333333333,40,,,,0,,,,,0,
36,,,,,,,,,,,,,
37,,,,,,,100,,,,,,
38,,,,,,,,,,,,66.66666666666666,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,33.33333333333333,
41,,,,,,,,,50,,,,
42,,,,,,,,,,,,0,
43,,,,,,,,,50,,,,
44,33.33333333333333,,,,,,,,,,,,
45,,,,,,,,,,,,0,
46,33.33333333333333,50,12.5,22.22222222222222,,0,20,36.36363636363637,100,20,40,27.58620689655172,16.666666666666664
47,0,0,22.22222222222222,0,,,0,,,33.33333333333333,,15.384615384615383,
48,,,33.33333333333333,,,,,,,,,,
49,14.285714285714285,33.33333333333333,25,37.5,,,12.5,,,20,0,11.11111111111111,66.66666666666666
50,,,0,,,,,,,,,,
51,,,,,,,,,,,,25,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,50,,,,,,,,50,
55,,0,,,,,0,,,,,0,33.33333333333333
56,39.130434782608695,,36.36363636363637,50,,,50,50,0,71.42857142857143,100,35,40
57,,,,,,,0,,,,,,
58,,,33.33333333333333,,,,,,,,,,
59,,,0,,,,0,,,,,0,
60,0,,50,,,0,,,,,,50,
61,0,0,0,,,,0,,,,,0,
62,25,50,,,,,,,,,,0,
63,,,33.33333333333333,,,,33.33333333333333,,,,,22.22222222222222,
64,,,,,,,0,,,,,25,
65,,0,,,,,,,,,,40,
66,,,,,,,,,,,,0,
67,0,,,,0,,,,,,,,
68,0,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,0,,,,,,,,,,,
71,9.090909090909092,,,,,,0,0,0,,,0,20
72,21.428571428571427,0,0,0,,50,33.33333333333333,,33.33333333333333,,60,11.76470588235294,0
73,10,,,,,,,,,,,,
74,33,33.33333333333333,50,16.666666666666664,0,0,0,,,0,,4.545454545454546,50
75,9.090909090909092,25,33.33333333333333,50,,0,0,,,,,17.857142857142858,
76,,,0,,,,,,,,,0,
77,,,,,,,0,,,,,12.5,
78,,50,0,,,,0,,,,,14.285714285714285,0
79,,,,,,,,,,,,0,
80,,33.33333333333333,,,,,,,,,,50,
81,,,,,,,,,,,,0,
82,,,,,,,33.33333333333333,,,0,,,
83,,,,,,,,,,,,50,
