orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
B-66,all,29,16,135,321,22,59592,0,0,0,0,0,B,12,Alveolar macrophage,38,16,3,3,3_4,AdventitialFib
B-67,all,42,10,1013,1122,18,54885,0,0,0,0,0,B,19,Sox9+/Id2+ epithelial cell,47,11,1,1,1_4_3,AlveolarFib
B-68,all,57,26,54,220,30,70073,0,0,0,0,0,B,13,Capillary 1 cell,48,25,4,4,4_1_2,CiliatedEpi
B-69,all,27,18,864,1490,20,57142,0,0,0,0,0,B,11,Alveolar fibroblast 1,41,18,1,1,1_5_1,LymphaticEndo
B-70,all,66,30,946,1937,34,96102,0,0,0,0,0,B,13,Arterial endothelial cell,57,30,2,2,2_1,Capillary
B-71,all,53,18,1200,1193,25,39151,0,0,0,0,0,B,6,Alveolar type 1 cell,51,18,6,6,6,AT1
B-72,all,59,31,813,1083,33,99573,0,0,0,0,0,B,14,Arterial endothelial cell,56,31,3,3,3_4,AdventitialFib
B-73,all,64,34,1002,1917,36,72799,0,0,0,0,0,B,11,Arterial endothelial cell,57,34,2,2,2_1,Capillary
B-76,all,89,16,1179,186,18,94195,0,0,0,0,0,B,72,Alveolar type 2 cell,56,16,1,1,1_1,AT2
B-78,all,37,15,801,1390,13,39515,0,0,0,0,0,B,21,Alveolar type 2 cell,42,15,2,2,2_4,Artery
B-79,all,45,26,1042,267,33,47369,0,0,0,0,0,B,2,Chondrocyte,46,26,1,1,1_2_1,Tcell (CD4)
B-80,all,72,19,963,1334,24,61316,0,0,0,0,0,B,53,Alveolar type 2 cell,52,20,2,2,2_4,Artery
B-81,all,46,26,1274,1201,29,60620,0,0,0,0,0,B,7,Alveolar fibroblast 1,46,26,1,1,1_5_4,pDC
B-82,all,61,39,927,1686,37,58765,0,0,0,0,0,B,7,Arterial endothelial cell,58,39,2,2,2_4,Artery
B-84,all,50,19,1036,1220,16,72515,0,0,0,0,0,B,27,Alveolar type 2 cell,49,19,6,6,6,AT1
B-85,all,36,16,1097,1635,38,46307,0,0,0,0,0,B,11,Alveolar fibroblast 1,42,16,2,2,2_1,Capillary
B-87,all,63,26,523,1236,17,87851,111,0,111,0,1,B,17,Alveolar fibroblast 1,55,26,2,2,2_4,Artery
B-88,all,19,7,490,960,6,15155,0,0,0,0,0,B,5,B cell,35,7,5,5,5_3,Pericyte
B-93,all,23,9,1048,370,7,20481,0,0,0,0,0,B,8,Alveolar type 1 cell,42,9,6,6,6,AT1
B-94,all,64,22,943,1245,35,58379,0,0,0,0,0,B,24,Alveolar type 1 cell,56,22,6,6,6,AT1
B-95,all,6,5,151,295,35,28095,0,0,0,0,0,B,3,Sox9+/Id2+ epithelial cell,22,8,5,5,5_1,Pericyte
B-97,all,32,20,142,618,28,62672,0,0,0,0,0,B,5,Pericyte,39,20,5,5,5_3,Pericyte
B-99,all,24,14,794,817,23,20782,0,0,0,0,0,B,6,Arterial endothelial cell,44,15,2,2,2_4,Artery
B-101,all,14,9,782,796,12,22106,0,0,0,0,0,B,6,Alveolar fibroblast 1,30,9,1,1,1_5_1,LymphaticEndo
B-104,all,34,22,303,265,36,26717,0,0,0,0,0,B,9,Alveolar fibroblast 1,41,22,5,5,5_3,Pericyte
B-105,all,96,40,92,129,30,69862,0,0,0,0,0,B,47,Ciliated cell,56,39,4,4,4_2,CiliatedEpi
B-106,all,30,13,664,1387,17,40492,0,0,0,0,0,B,3,Endothelial progenitor cell,42,13,2,2,2_1,Capillary
B-107,all,29,15,205,1726,36,45749,0,0,0,0,0,B,9,Pericyte,39,15,5,5,5_1,Pericyte
B-110,all,10,6,917,367,6,17772,0,0,0,0,0,B,2,T regulatory cell,28,7,1,1,1_6_2,Neutrophil
B-111,all,44,6,523,1314,34,19562,0,0,0,0,0,B,44,Alveolar type 2 cell,47,6,1,1,1_3,AT2
B-112,all,30,14,1420,707,10,46490,0,0,0,0,0,B,12,Capillary 1 cell,44,15,2,2,2_2,InflamMac
B-113,all,110,37,1098,1688,29,82958,0,0,0,0,0,B,15,Alveolar type 1 cell,49,23,6,6,6,AT1
B-116,all,200,40,251,222,24,90878,0,0,0,0,0,B,152,Ciliated cell,58,39,4,4,4_2,CiliatedEpi
B-117,all,71,29,583,1842,32,82802,0,0,0,0,0,B,19,Inflammatory monocyte,55,29,9,9,9,Bcell
B-121,all,66,40,897,1871,37,80876,0,0,0,0,0,B,10,Capillary 2 cell,57,41,3,3,3_5,SMC
B-126,all,24,14,932,1391,7,32473,0,0,0,0,0,B,9,Sox9+/Id2+ epithelial cell,45,15,2,2,2_1,Capillary
B-130,all,70,24,373,1798,17,52815,0,0,0,0,0,B,24,Alveolar type 1 cell,53,24,6,6,6,AT1
B-131,all,43,26,17,505,32,80026,0,0,0,0,0,B,15,B cell,43,26,9,9,9,Bcell
B-132,all,43,26,1001,480,33,46727,0,0,0,0,0,B,7,Alveolar type 1 cell,47,27,1,1,1_4_1,AlveolarFib
B-133,all,265,45,23,111,29,110641,0,0,0,0,0,B,126,Secretory cell,56,14,4,4,4_2,ClubEpi
B-134,all,12,7,83,548,41,17062,0,0,0,0,0,B,4,Endothelial progenitor cell,29,7,2,2,2_1,Capillary
B-136,all,13,11,965,543,34,22403,0,0,0,0,0,B,4,Alveolar type 1 cell,38,12,2,2,2_1,Capillary
B-137,all,39,28,1073,740,37,44777,0,0,0,0,0,B,6,Alveolar fibroblast 1,43,28,3,3,3_4,AdventitialFib
B-140,all,22,13,521,1044,6,22248,0,0,0,0,0,B,4,Capillary 1 cell,41,14,2,2,2_1,Capillary
B-142,all,40,20,882,1260,12,81860,0,0,0,0,0,B,15,Vascular smooth muscle cell,42,20,5,5,5_3,Pericyte
B-143,all,40,26,30,1268,16,33756,0,0,0,0,0,B,9,Alveolar fibroblast 1,42,27,1,1,1_5_1,LymphaticEndo
B-144,all,25,14,31,613,38,47272,0,0,0,0,0,B,6,Pericyte,43,14,5,5,5_3,Pericyte
B-145,all,42,23,1169,898,34,63297,0,0,0,0,0,B,3,Capillary 1 cell,45,24,2,2,2_1,Capillary
B-147,all,49,23,850,1528,22,116895,0,0,0,0,0,B,17,Alveolar fibroblast 1,50,24,3,3,3_1,SMC
B-148,all,123,22,85,186,17,57670,0,0,0,0,0,B,104,Ciliated cell,41,21,4,4,4_2,CiliatedEpi
